round,book_hash_before,book_hash_after,mean_train_before,mean_train_after,mean_heldout_before,mean_heldout_after,mean_J_before,mean_J_after,num_kept,num_discarded,total_tokens_before,total_tokens_after,elapsed_seconds,notes
1,d9ca50fca21d46b3e8991a3f418a2b21c0f0d0af2e8b69ea841b887e8c5d25bd,e22fca4fa988f62e1fbcfd5444205f0751243494f9b2503dda6f506e051be0c2,0.3,0.4875,0.16125,0.1675,0.46125,0.655,6,4,796,1343,4388.052994966507,
2,e22fca4fa988f62e1fbcfd5444205f0751243494f9b2503dda6f506e051be0c2,ec1ceee8fe6950e6e1b5654c6f4e037dd39fa9623c694c9e362bf2865c90e852,0.4875,0.525,0.1675,0.16625,0.655,0.6912499999999999,2,8,1343,1444,9215.388774633408,
3,ec1ceee8fe6950e6e1b5654c6f4e037dd39fa9623c694c9e362bf2865c90e852,ad7cf6958b4bc7857b2873e4276cee61995d6f70c9f659e68ed8b727ce126aae,0.525,0.6125,0.16625,0.1775,0.6912499999999999,0.79,5,5,1444,1589,10102.842086076736,
4,ad7cf6958b4bc7857b2873e4276cee61995d6f70c9f659e68ed8b727ce126aae,32e35311bc07d72ee7be423bd54cbd832bdf25598aced6b71816e245eb9923ba,0.6125,0.6125,0.1775,0.18125,0.79,0.79375,2,8,1589,1657,7502.312130451202,
