round,book_hash_before,book_hash_after,mean_train_before,mean_train_after,mean_heldout_before,mean_heldout_after,mean_J_before,mean_J_after,num_kept,num_discarded,total_tokens_before,total_tokens_after,elapsed_seconds,notes
1,a4f6559f175878a48411a30621f777cef52c470866f30c23837251e671b9e3c7,53987718a56afa8f169994dcbb3c734d7bb7c2535ef1f62e9347f1cf432c2013,0.3625,0.4,0.165,0.18625,2.0125,2.2625,5,5,796,1188,3479.2680943012238,
2,53987718a56afa8f169994dcbb3c734d7bb7c2535ef1f62e9347f1cf432c2013,53987718a56afa8f169994dcbb3c734d7bb7c2535ef1f62e9347f1cf432c2013,0.4,0.4,0.18625,0.18625,2.2625,2.2625,0,10,1188,1188,2750.8676874637604,
3,53987718a56afa8f169994dcbb3c734d7bb7c2535ef1f62e9347f1cf432c2013,40e575e7deec146f9fed1cf6fc75e4fa046c297bc820fd98422b2c1254fa4a7a,0.4,0.525,0.18625,0.185,2.2625,2.375,5,5,1188,1179,3942.107440471649,
4,40e575e7deec146f9fed1cf6fc75e4fa046c297bc820fd98422b2c1254fa4a7a,7f7b0c5cedda760e0688b77c39d89d49b12177c9d824464ea36def74d71a9198,0.525,0.55,0.185,0.185,2.375,2.4,2,8,1179,1149,3706.2379508018494,
5,7f7b0c5cedda760e0688b77c39d89d49b12177c9d824464ea36def74d71a9198,e7bbbf5d893358eeee8c3344227a889c839797219093683f3675500e3daa0469,0.55,0.55,0.185,0.19875,2.4,2.5375,3,7,1149,1180,2967.088581085205,
6,e7bbbf5d893358eeee8c3344227a889c839797219093683f3675500e3daa0469,2433039dfc1945908a71c6e78b94149041c1a9a176db2c28400f1340c0424d0d,0.55,0.5125,0.19875,0.21125,2.5375,2.625,2,8,1180,1175,4342.023595094681,
7,2433039dfc1945908a71c6e78b94149041c1a9a176db2c28400f1340c0424d0d,2433039dfc1945908a71c6e78b94149041c1a9a176db2c28400f1340c0424d0d,0.5125,0.5125,0.21125,0.21125,2.625,2.625,0,10,1175,1175,3631.026844263077,
