round,book_hash_before,book_hash_after,mean_train_before,mean_train_after,mean_heldout_before,mean_heldout_after,mean_J_before,mean_J_after,num_kept,num_discarded,total_tokens_before,total_tokens_after,elapsed_seconds,notes
1,85c06677116e49e8f305208550220e6812379dba1cc0a8be48405a22e3f264ff,46f60325156387099517ecec7a371f1f27bf0b2265d24568c115afcda352f8f6,0.3125,0.4,0.15125,0.16125,0.615,0.7225,4,6,796,1086,4573.566429376602,
2,46f60325156387099517ecec7a371f1f27bf0b2265d24568c115afcda352f8f6,dc4b32550309f71785839371925be169d5cd21b1955fc8a226b480e85d7b588e,0.4,0.4875,0.16125,0.16625,0.7225,0.8200000000000001,5,5,1086,1282,5439.78743314743,
3,dc4b32550309f71785839371925be169d5cd21b1955fc8a226b480e85d7b588e,f93552fce0b96f517f09ee4b14565befa4817ba961101f0bcda9348141d9c50e,0.4875,0.5,0.16625,0.17875,0.8200000000000001,0.8575,3,7,1282,1325,4496.454298496246,
4,f93552fce0b96f517f09ee4b14565befa4817ba961101f0bcda9348141d9c50e,b905c4af0c91390f0ec746d7de141e8cb6c596b964ad5ccbe2124e64368ab64d,0.5,0.625,0.17875,0.175,0.8575,0.975,4,6,1325,1449,4669.623247623444,
5,b905c4af0c91390f0ec746d7de141e8cb6c596b964ad5ccbe2124e64368ab64d,b905c4af0c91390f0ec746d7de141e8cb6c596b964ad5ccbe2124e64368ab64d,0.625,0.625,0.175,0.175,0.975,0.975,0,10,1449,1449,5895.340613126755,
6,b905c4af0c91390f0ec746d7de141e8cb6c596b964ad5ccbe2124e64368ab64d,b9b0df07b8c96725388473dca68d3084c3bf6b56d78c4314e963399e6f81fb8c,0.625,0.6375,0.175,0.17,0.975,0.9775,1,9,1449,1431,5782.360109090805,
7,b9b0df07b8c96725388473dca68d3084c3bf6b56d78c4314e963399e6f81fb8c,5ed7bd34f1b2cefc0f54a9b43a28c35ac34067c5666e656261484787d1ce2a1f,0.6375,0.6375,0.17,0.175,0.9775,0.9875,1,9,1431,1457,5022.554901838303,
8,5ed7bd34f1b2cefc0f54a9b43a28c35ac34067c5666e656261484787d1ce2a1f,71b7d6a0c92712ccf5ab163515395c7e6f9a18c319832dc19b59555efd2ea1bf,0.6375,0.6375,0.175,0.17875,0.9875,0.995,1,9,1457,1510,5723.344721794128,
9,71b7d6a0c92712ccf5ab163515395c7e6f9a18c319832dc19b59555efd2ea1bf,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,0.6375,0.6625,0.17875,0.1825,0.995,1.0275,3,7,1510,1566,5123.43076300621,
10,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,0.6625,0.6625,0.1825,0.1825,1.0275,1.0275,0,10,1566,1566,5692.313908576965,
11,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,0.6625,0.6625,0.1825,0.1825,1.0275,1.0275,0,10,1566,1566,5674.188131809235,
12,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,0.6625,0.6625,0.1825,0.1825,1.0275,1.0275,0,10,1566,1566,5167.452431201935,
13,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,0.6625,0.6625,0.1825,0.1825,1.0275,1.0275,0,10,1566,1566,6328.194489479065,
14,8517812548134fbfeb82fc92a51e7aa3561f7e9f78f0d5bf0262e0783f364161,67926e054b4bcfc9ea033dc17635890614554923304809e30ab3e87d9616d6a1,0.6625,0.6625,0.1825,0.1825,1.0275,1.0275,1,9,1566,1565,4840.610107183456,
15,67926e054b4bcfc9ea033dc17635890614554923304809e30ab3e87d9616d6a1,bbb622b63a54c44b4d9370a634fffde6683937182c74e244bf9ba4e3b40831e8,0.6625,0.675,0.1825,0.1775,1.0275,1.03,1,9,1565,1581,4990.789196014404,
16,bbb622b63a54c44b4d9370a634fffde6683937182c74e244bf9ba4e3b40831e8,cc9e3d220ada4f889ffa8922beac4a008b00999a422b6380ac2ab464804e6827,0.675,0.6625,0.1775,0.18625,1.03,1.035,2,8,1581,1590,4772.717277765274,
17,cc9e3d220ada4f889ffa8922beac4a008b00999a422b6380ac2ab464804e6827,f25f9a3bf1118e663f1442b42f2e9a69a29f58a57d2b74f84c22f4edda86719d,0.6625,0.6625,0.18625,0.19125,1.035,1.045,1,9,1590,1621,6290.019085884094,
18,f25f9a3bf1118e663f1442b42f2e9a69a29f58a57d2b74f84c22f4edda86719d,e80d2fe8a666cdc42b7d9ae7a3f0a088675e37730ea3357e93167aaa2689c1d4,0.6625,0.675,0.19125,0.1875,1.045,1.05,1,9,1621,1616,5311.752368450165,
19,e80d2fe8a666cdc42b7d9ae7a3f0a088675e37730ea3357e93167aaa2689c1d4,e80d2fe8a666cdc42b7d9ae7a3f0a088675e37730ea3357e93167aaa2689c1d4,0.675,0.675,0.1875,0.1875,1.05,1.05,0,10,1616,1616,5631.646730661392,
